ID Socio;Nombre;Actividades Pendientes (EUR);Reservas Pendientes (EUR);Total (EUR)
1;Laura Martín;0,00;0,00;0,00
2;Carlos Pérez;0,00;0,00;0,00
3;Ana Gómez;18,00;0,00;18,00
4;Miguel Ruiz;0,00;35,00;35,00
5;Sofía López;0,00;0,00;0,00
6;Javier Ortega;20,00;0,00;20,00
7;Elena Navarro;0,00;18,00;18,00
8;Daniel Torres;0,00;0,00;0,00
9;Paula Romero;0,00;0,00;0,00
10;Hugo Sánchez;10,00;0,00;10,00
11;Nerea Castillo;0,00;0,00;0,00
12;Alberto Molina;0,00;0,00;0,00
13;Claudia Vega;0,00;16,00;16,00
14;Iván Ramos;0,00;0,00;0,00
15;Marina Gil;0,00;0,00;0,00
17;socio1;0,00;0,00;0,00
